Occupation,Ever been married or in union,Has an account in a bank or other financial institution,Year of first cohabitation,Religion,Current age,Age of wife/partner,Drinks wine,Region,"Have a job, but currently absent",Sex of household head,Beating justified: wife burns food,Beating justified: wife goes out without telling husband,Age in 5-year groups,Occupation (grouped),On average respondent uses daily: snuff by nose,Employment all year/seasonal,Daughters at home,Drinks other alcohol,Cohabitation duration (grouped),Years lived in place of residence,Drinks rum,Beating justified: wife argues with husband,Drinks beer,Educational level,On average respondent smokes daily: manufactured cigarettes,In the past smoked tobacco every day,Drinks Tafia/Clairin,Drinks alcohol,Country code and phase,Currently residing with wife/partner,Beating justified: wife refuses to have sex with husband,Since how many years smokes respondent,Wife justified refusing sex: husband has other women,Age of household head,Currently working,Beating justified: wife neglects the children,Drinks,index,Beating,target
"Contremaitre, agent de maitrise",,No,2011.0,Catholic,31,31.0,No,Sud,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,5-9,Always,Yes,No,Yes,Primary,Product not used,,No,Every now and then,HT7,Living with him,No,,Yes,31,Yes,No,Drinks rum,10,No Beating,0
Insituteur et assimilï¿½s,,Yes,2009.0,Catholic,39,38.0,No,Sud,,Female,No,No,35-39,Professional/technical/managerial,Product not used,All year,2,No,5-9,7,Yes,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,38,Yes,No,Drinks rum,11,No Beating,0
Commercant et assimilï¿½,,No,2002.0,Catholic,46,50.0,No,Sud,No,Female,No,No,45-49,Sales,Product not used,All year,0,No,15-19,26,Yes,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,Staying elsewhere,No,,Yes,95,No,No,Drinks rum,12,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,16,,No,Sud,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,95,No,No,No Drinks,13,No Beating,0
Insituteur et assimilï¿½s,,No,2007.0,Protestant/Methodist/Adventist/Jehova Witness,36,38.0,No,Sud,,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,2,No,10-14,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,36,Yes,No,Drinks beer,14,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,37,,No,Sud,,Female,No,No,35-39,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,71,Yes,No,No Drinks,15,No Beating,0
Agriculteur,,No,1976.0,Vaudousant,60,59.0,No,Sud,,Female,No,No,60-64,Agriculture - self employed,Product not used,All year,1,No,30+,Always,No,No,No,No education,1,,Yes,Hardly ever,HT7,Living with him,No,,Yes,59,Yes,No,DrinksTafia/Clairin,16,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,23,,Yes,Sud,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,59,No,No,Drinks wine,17,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,18,,No,Sud,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,59,No,No,No Drinks,18,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,19,,No,Sud,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,No,59,No,No,Drinks rum,19,No Beating,0
"Contremaitre, agent de maitrise",,No,1976.0,Catholic,59,50.0,No,Sud,,Female,No,Yes,55-59,Professional/technical/managerial,Product not used,All year,0,No,30+,Always,Yes,No,Yes,No education,3,,Yes,Hardly ever,HT7,Staying elsewhere,Yes,,Yes,80,Yes,No,Drinks rum,20,wife goes out without telling husband,1
Ouvrier qualifiï¿½ de type artisanal,,No,2005.0,Catholic,42,35.0,No,Sud,,Male,No,No,40-44,Skilled manual,Product not used,All year,1,No,10-14,Always,Yes,No,No,Secondary,Product not used,,No,Every now and then,HT7,Living with him,No,,Yes,42,Yes,No,Drinks rum,21,No Beating,0
Artisan,No,No,,No religion,18,,No,Sud,,Male,No,No,15-19,Unskilled manual,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,,No,,No,42,Yes,No,Drinks rum,22,No Beating,0
Employï¿½ administratif du secteur privï¿½,,No,2009.0,Catholic,38,37.0,No,Sud,,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,0,No,5-9,10,No,No,No,Higher,Product not used,,No,"No, never",HT7,Staying elsewhere,No,,Yes,67,Yes,No,No Drinks,23,No Beating,0
Agriculteur,,No,1997.0,Catholic,53,37.0,No,Sud,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,2,No,15-19,Always,No,No,Yes,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,53,Yes,No,Drinks beer,24,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,No,Sud,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,53,No,No,Drinks beer,25,No Beating,0
Agriculteur,No,No,,Catholic,21,,No,Sud,,Female,No,No,20-24,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,59,Yes,No,Drinks rum,26,No Beating,0
Agriculteur,No,No,,Catholic,17,,No,Sud,,Female,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,No,59,Yes,No,DrinksTafia/Clairin,27,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Sud,,Female,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,No,59,Yes,No,Drinks beer,28,No Beating,0
Chaffeur,No,No,,Catholic,25,,Yes,Sud,,Female,No,No,25-29,Sales,Product not used,Seasonal,0,Yes,Never married,Always,Yes,No,Yes,Higher,Product not used,,Yes,Every now and then,HT7,,No,,No,59,Yes,No,Drinks other alcohol,29,No Beating,0
Employï¿½ administratif du secteur privï¿½,,Yes,2013.0,No religion,24,28.0,No,Aire Metropolitaine,,Female,No,No,20-24,Professional/technical/managerial,Product not used,All year,1,No,0-4,Always,Yes,No,Yes,Higher,Product not used,No,Yes,Every day,HT7,Staying elsewhere,No,,Yes,53,Yes,No,Drinks rum,30,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,16,,No,Aire Metropolitaine,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,53,No,No,Drinks rum,31,No Beating,0
Not working and didn't work in last 12 months,No,Yes,,No religion,21,,No,Aire Metropolitaine,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Higher,Product not used,No,Yes,Every day,HT7,,Yes,,Yes,53,No,No,Drinks rum,32,wife refuses to have sex with husband,1
Ouvrier qualifiï¿½ de type artisanal,,No,1998.0,Catholic,35,22.0,Yes,Aire Metropolitaine,,Male,No,No,35-39,Skilled manual,Product not used,Seasonal,1,No,15-19,Always,Yes,No,Yes,Higher,20,,Yes,Every now and then,HT7,Living with him,No,,No,35,Yes,No,Drinks wine,33,No Beating,0
"Clerge, regligieux",,No,2006.0,No religion,41,34.0,Yes,Aire Metropolitaine,,Male,No,No,40-44,Professional/technical/managerial,Product not used,Occasional,1,No,10-14,Always,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,41,Yes,No,Drinks wine,34,No Beating,0
Profession libï¿½rale,,Yes,2013.0,Protestant/Methodist/Adventist/Jehova Witness,32,32.0,No,Aire Metropolitaine,,Female,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,0-4,4,Yes,No,Yes,Higher,Product not used,,No,Every day,HT7,Living with him,No,,Yes,32,Yes,No,Drinks rum,35,No Beating,0
Profession intermediare/administrative du public,,Yes,1995.0,Catholic,49,38.0,No,Aire Metropolitaine,,Male,No,No,45-49,Professional/technical/managerial,Product not used,All year,3,No,20-24,7,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,49,Yes,No,DrinksTafia/Clairin,36,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,16,,Yes,Aire Metropolitaine,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,7,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,49,No,No,Drinks wine,37,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,2007.0,Catholic,28,28.0,Yes,Aire Metropolitaine,,Male,No,No,25-29,Skilled manual,Product not used,All year,0,No,5-9,Visitor,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,Staying elsewhere,No,,Yes,73,Yes,No,Drinks wine,38,No Beating,0
Employï¿½ administratif du secteur privï¿½,No,Yes,,Catholic,32,,No,Aire Metropolitaine,,Female,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,Never married,10,Yes,No,Yes,Higher,Product not used,,Yes,Every day,HT7,,No,,Yes,73,Yes,No,Drinks rum,39,No Beating,0
Chef d'entreprise,No,Yes,,No religion,25,,No,Aire Metropolitaine,,Female,No,No,25-29,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Higher,Product not used,,No,Every now and then,HT7,,No,,Yes,73,Yes,No,Drinks rum,40,No Beating,0
Personnel des services directs au particulier,,Yes,2010.0,Protestant/Methodist/Adventist/Jehova Witness,36,30.0,No,Aire Metropolitaine,,Male,No,No,35-39,Household and domestic,Product not used,All year,0,No,5-9,13,Yes,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,Staying elsewhere,No,,Yes,36,Yes,No,Drinks rum,41,No Beating,0
Technicien (sauf technicien du tertiaire),No,Yes,,No religion,31,,No,Aire Metropolitaine,,Female,No,No,30-34,Professional/technical/managerial,Product not used,Seasonal,0,No,Never married,Always,No,No,Yes,Higher,Product not used,,Yes,Every day,HT7,,No,,Yes,50,Yes,No,DrinksTafia/Clairin,42,No Beating,0
Profession intermediare de la sante et du travail social,,Yes,2004.0,Catholic,41,32.0,No,Aire Metropolitaine,,Female,No,No,40-44,Professional/technical/managerial,Product not used,All year,1,No,10-14,Always,Yes,No,Yes,Higher,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,32,Yes,No,Drinks rum,43,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Aire Metropolitaine,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,32,No,No,Drinks rum,44,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,2010.0,No religion,29,20.0,No,Aire Metropolitaine,,Female,No,No,25-29,Skilled manual,Product not used,Seasonal,0,No,5-9,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,57,Yes,No,Drinks rum,45,No Beating,0
Commercant et assimilï¿½,,Yes,2008.0,Catholic,34,34.0,No,Aire Metropolitaine,,Female,No,No,30-34,Sales,Product not used,All year,0,No,5-9,Always,Yes,No,Yes,Higher,Product not used,,Yes,Every now and then,HT7,Staying elsewhere,No,,Yes,71,Yes,No,Drinks rum,46,No Beating,0
Commercant et assimilï¿½,,No,1991.0,Protestant/Methodist/Adventist/Jehova Witness,51,48.0,No,Artibonite,No,Female,No,No,50-54,Sales,Product not used,Seasonal,2,No,25-29,30,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,48,No,No,No Drinks,47,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,1998.0,Catholic,49,43.0,No,Artibonite,,Female,No,No,45-49,Skilled manual,Product not used,All year,2,No,15-19,3,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,43,Yes,No,DrinksTafia/Clairin,48,No Beating,0
Chef d'entreprise,,Yes,2016.0,Catholic,35,33.0,No,Artibonite,No,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,0,No,0-4,Visitor,No,No,No,Higher,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,69,No,No,No Drinks,49,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,17,,No,Artibonite,No,Male,No,Yes,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,69,No,No,DrinksTafia/Clairin,50,wife goes out without telling husband,1
Commercant et assimilï¿½,,Yes,1988.0,Protestant/Methodist/Adventist/Jehova Witness,54,49.0,No,Artibonite,,Male,No,No,50-54,Sales,Product not used,All year,0,No,25-29,13,No,No,No,Primary,Product not used,,No,"No, never",HT7,Staying elsewhere,No,,Yes,54,Yes,No,No Drinks,51,No Beating,0
Agriculteur,Formerly lived with a woman,No,1988.0,Catholic,50,,No,Artibonite,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,0,No,25-29,0,Yes,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,50,Yes,No,Drinks rum,52,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,31,,Yes,Artibonite,,Male,No,No,30-34,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,50,Yes,No,Drinks wine,53,No Beating,0
Profession de l'information des arts et spectacles,No,No,,Catholic,21,,No,Artibonite,,Female,No,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,No,70,Yes,No,Drinks rum,54,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,46,,No,Artibonite,No,Female,No,No,45-49,Not working,Product not used,,0,No,Never married,1,Yes,No,Yes,Secondary,10,,Yes,Every now and then,HT7,,No,,Yes,70,No,No,Drinks rum,55,No Beating,0
Insituteur et assimilï¿½s,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Artibonite,,Female,No,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,Never married,12,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,50,Yes,No,Drinks rum,56,No Beating,0
Commercant et assimilï¿½,,No,1991.0,Catholic,48,48.0,No,Artibonite,,Female,No,Yes,45-49,Sales,Product not used,All year,0,No,25-29,Visitor,No,No,No,Higher,20,,No,"No, never",HT7,Living with him,No,,Yes,48,Yes,No,No Drinks,57,wife goes out without telling husband,1
Not working and didn't work in last 12 months,No,No,,No religion,21,,No,Artibonite,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,2,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,48,No,No,Drinks rum,58,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,18,,No,Artibonite,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,14,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,48,No,No,DrinksTafia/Clairin,59,No Beating,0
Not working and didn't work in last 12 months,,Yes,1986.0,Catholic,58,55.0,No,Artibonite,No,Female,No,No,55-59,Not working,Product not used,,0,No,30+,Always,No,No,No,Primary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,55,No,No,DrinksTafia/Clairin,60,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,18,,Yes,Artibonite,No,Female,No,No,15-19,Not working,Product not used,,0,Yes,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,46,No,No,Drinks other alcohol,61,No Beating,0
Agriculteur,,No,1981.0,Vaudousant,55,51.0,No,Grand'Anse,,Male,No,Yes,55-59,Agriculture - self employed,20,Seasonal,3,No,30+,Always,No,No,No,No education,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,56,Yes,No,DrinksTafia/Clairin,62,wife goes out without telling husband,1
Agriculteur,No,No,,No religion,17,,No,Grand'Anse,,Male,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,No,56,Yes,No,DrinksTafia/Clairin,63,No Beating,0
Agriculteur,No,No,,No religion,22,,No,Grand'Anse,,Male,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,56,Yes,No,DrinksTafia/Clairin,64,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,21,,No,Grand'Anse,,Male,No,No,20-24,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,76,Yes,No,DrinksTafia/Clairin,65,No Beating,0
Commercant et assimilï¿½,No,No,,No religion,22,,No,Grand'Anse,,Male,No,No,20-24,Sales,Product not used,All year,0,No,Never married,Always,No,No,No,No education,Product not used,,Yes,Every now and then,HT7,,No,,Yes,76,Yes,No,DrinksTafia/Clairin,66,No Beating,0
Agriculteur,,No,1996.0,Catholic,47,35.0,No,Grand'Anse,,Male,No,No,45-49,Agriculture - self employed,Product not used,All year,0,No,20-24,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,47,Yes,No,No Drinks,67,No Beating,0
Agriculteur,No,No,,Catholic,18,,No,Grand'Anse,No,Male,No,No,15-19,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,,No,,No,47,No,No,No Drinks,68,No Beating,0
Agriculteur,,No,1984.0,Catholic,60,46.0,No,Grand'Anse,,Female,No,No,60-64,Agriculture - self employed,4,All year,0,No,30+,6,No,No,No,No education,Product not used,No,Yes,Every day,HT7,Living with him,No,,Yes,74,Yes,No,DrinksTafia/Clairin,69,No Beating,0
Agriculteur,,No,1990.0,Catholic,60,49.0,No,Grand'Anse,,Male,No,No,60-64,Agriculture - self employed,Product not used,Seasonal,0,No,25-29,Always,No,No,No,No education,7,,Yes,Every day,HT7,Living with him,No,,Yes,60,Yes,No,DrinksTafia/Clairin,70,No Beating,0
Agriculteur,,No,1987.0,Protestant/Methodist/Adventist/Jehova Witness,54,49.0,No,Grand'Anse,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,Yes,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,54,Yes,No,Drinks beer,71,No Beating,0
Agriculteur,,No,2000.0,Protestant/Methodist/Adventist/Jehova Witness,37,33.0,No,Grand'Anse,,Male,No,No,35-39,Agriculture - self employed,Product not used,All year,2,No,15-19,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,37,Yes,No,No Drinks,72,No Beating,0
Agriculteur,,No,1991.0,No religion,59,24.0,No,Grand'Anse,,Male,No,Yes,55-59,Agriculture - self employed,Product not used,All year,0,No,25-29,21,No,No,No,No education,60,,Yes,Every now and then,HT7,Living with him,No,,Yes,59,Yes,No,DrinksTafia/Clairin,73,wife goes out without telling husband,1
Agriculteur,No,No,,No religion,15,,No,Grand'Anse,,Male,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,59,Yes,No,No Drinks,74,No Beating,0
Agriculteur,,No,1976.0,Catholic,62,59.0,No,Grand'Anse,,Male,No,No,60-64,Agriculture - self employed,Product not used,All year,2,No,30+,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,No,62,Yes,No,DrinksTafia/Clairin,75,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,18,,No,Grand'Anse,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,No,62,No,No,DrinksTafia/Clairin,76,No Beating,0
Agriculteur,No,No,,No religion,24,,No,Grand'Anse,,Male,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,70,Yes,No,DrinksTafia/Clairin,77,No Beating,0
Agriculteur,No,No,,Catholic,17,,No,Grand'Anse,,Male,No,No,15-19,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,70,Yes,No,Drinks beer,78,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,21,,No,Grand'Anse,,Male,No,No,20-24,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,No,70,Yes,No,No Drinks,79,No Beating,0
Agriculteur,,No,1988.0,No religion,52,41.0,No,Grand'Anse,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,6,No,25-29,Always,No,No,No,No education,5,,No,"No, never",HT7,Living with him,No,,Yes,52,Yes,No,No Drinks,80,No Beating,0
Agriculteur,,No,2005.0,No religion,33,25.0,No,Grand'Anse,,Male,No,No,30-34,Agriculture - self employed,Product not used,All year,1,No,10-14,18,No,No,No,Primary,Product not used,,Yes,Every now and then,HT7,Staying elsewhere,No,,No,33,Yes,No,DrinksTafia/Clairin,81,No Beating,0
Agriculteur,,No,2012.0,Catholic,28,30.0,No,Grand'Anse,,Male,No,No,25-29,Agriculture - self employed,Product not used,All year,0,No,5-9,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,28,Yes,No,Drinks beer,82,No Beating,0
Agriculteur,,No,1995.0,Catholic,55,37.0,No,Grand'Anse,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,1,No,20-24,8,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,55,Yes,No,DrinksTafia/Clairin,83,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,17,,No,Grand'Anse,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,55,No,No,No Drinks,84,No Beating,0
Agriculteur,,No,1984.0,No religion,62,49.0,No,Grand'Anse,,Female,No,No,60-64,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,No,49,Yes,No,DrinksTafia/Clairin,85,No Beating,0
Agriculteur,,No,2013.0,No religion,28,37.0,No,Grand'Anse,,Female,No,No,25-29,Agriculture - self employed,Product not used,Seasonal,0,No,0-4,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Staying elsewhere,No,,Yes,49,Yes,No,DrinksTafia/Clairin,86,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,25,,No,Nippes,No,Female,No,No,25-29,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,No,46,No,No,DrinksTafia/Clairin,87,No Beating,0
Artisan,No,No,,Protestant/Methodist/Adventist/Jehova Witness,22,,No,Nippes,,Female,No,No,20-24,Unskilled manual,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,46,Yes,No,Drinks rum,88,No Beating,0
